"Calendar.Year","Quarter","Quarter.Month.from","Quarter.Month.to","County.code","County","Permit.Date","Permits..Incorporated.Cities","Permits..Outside.Incorporated.Cities","Permits..Allocated.Countywide","Total.Permits","Taxable.Transactions..Incorporated.Cities","Taxable.Transactions..Outside.Incorporated.Cities","Taxable.Transactions..Unallocated","Total.Taxable.Transactions","Yearly.Percentage.Change....","Per.Capita"
2024,"A",1,12,19,"Los Angeles","12/31/2024",322528,22213,1,344742,161220777780,7230825206,37358465749,205810068735,-1.29,20949.53
2024,"A",1,12,38,"San Francisco","12/31/2024",28019,NA,NA,28019,14298779618,NA,4474543810,18773323428,-1.72,22267.78
2024,"A",1,12,41,"San Mateo","12/31/2024",18352,1871,NA,20223,15598534857,1893488801,4476436533,21968460191,-0.61,29624.46
2024,"A",1,12,43,"Santa Clara","12/31/2024",48593,1853,1,50447,46403808120,477588215,10646307707,57527704042,0.75,30226.86
2023,"A",1,12,19,"Los Angeles","12/31/2023",320347,22234,1,342582,164481319434,7364655088,36656860804,208502835326,-2.43,21360.34
2023,"A",1,12,38,"San Francisco","12/31/2023",28302,NA,NA,28302,14604031049,NA,4498045990,19102077039,-2.59,22967.42
2023,"A",1,12,41,"San Mateo","12/31/2023",18596,1848,NA,20444,15681360665,1964409071,4456497231,22102266967,0.77,29963.32
2023,"A",1,12,43,"Santa Clara","12/31/2023",47844,1853,1,49698,46135912746,503989968,10458395682,57098298396,-1.1,30273.54
2022,"A",1,12,19,"Los Angeles","12/31/2022",330667,23422,3,354092,169058660248,7250911483,37407037607,213716609338,11,21672.42
2022,"A",1,12,38,"San Francisco","12/31/2022",29177,NA,NA,29177,14943496855,NA,4667909040,19611405895,18.09,23270.61
2022,"A",1,12,41,"San Mateo","12/31/2022",19471,1931,NA,21402,15420251080,1921166193,4591272233,21932689506,12.25,29453.21
2022,"A",1,12,43,"Santa Clara","12/31/2022",49277,1944,1,51222,46385905479,517088707,10835953023,57738947209,8.95,30472.59
2021,"A",1,12,19,"Los Angeles","12/31/2021",325896,23162,3,349061,150302015077,6279227230,35942960703,192524203010,22.05,19167.2
2021,"A",1,12,38,"San Francisco","12/31/2021",29026,NA,NA,29026,12201338961,NA,4405774918,16607113879,15.4,18979.34
2021,"A",1,12,41,"San Mateo","12/31/2021",19488,1908,NA,21396,13971488326,1153370179,4413866573,19538725078,22.57,25532.63
2021,"A",1,12,43,"Santa Clara","12/31/2021",49132,1882,1,51015,42407014375,440364184,10147315605,52994694164,14.1,27399.17
2020,"A",1,12,19,"Los Angeles","12/31/2020",352037,24950,3,376990,119698733944,4878339712,33160910800,157737984456,-8.45,15505.62
2020,"A",1,12,38,"San Francisco","12/31/2020",32849,NA,NA,32849,9907903357,NA,4481819589,14389722946,-31.33,16027.65
2020,"A",1,12,41,"San Mateo","12/31/2020",21842,2143,NA,23985,10833328039,832848733,4273890930,15940067702,-12.82,20614.53
2020,"A",1,12,43,"Santa Clara","12/31/2020",53307,2087,1,55395,36099940369,350613435,9994096451,46444650255,-1.18,23672.46
2019,"A",1,12,19,"Los Angeles","12/31/2019",320450,21904,5,342359,142910278079,6027929500,23375395408,172313602987,3.78,16919.4
2019,"A",1,12,38,"San Francisco","12/31/2019",31870,NA,NA,31870,16890270514,NA,4066861929,20957132443,3.02,23520.35
2019,"A",1,12,41,"San Mateo","12/31/2019",20887,2021,NA,22908,13305058213,1695964448,3285034671,18286057332,4.21,23618.34
2019,"A",1,12,43,"Santa Clara","12/31/2019",51289,2022,1,53312,38424945600,463708641,8113310024,47001964265,3.63,24043.97
2018,"A",1,12,19,"Los Angeles","12/31/2018",307446,20596,5,328047,140824667333,5841449420,19357679073,166023795826,3.58,16190.08
2018,"A",1,12,38,"San Francisco","12/31/2018",31739,NA,NA,31739,16945076049,NA,3397644654,20342720703,4.46,23091.01
2018,"A",1,12,41,"San Mateo","12/31/2018",20578,1976,NA,22554,13025288216,1676656023,2845152668,17547096907,4.84,22718.45
2018,"A",1,12,43,"Santa Clara","12/31/2018",50995,1998,1,52994,37812886033,483177491,7057010153,45353073677,5.1,23284.27
2017,"A",1,12,19,"Los Angeles","12/31/2017",292654,19401,1171,313226,134763661273,5611149496,19905319180,160280129949,3.3,15665.71
2017,"A",1,12,38,"San Francisco","12/31/2017",30113,NA,48,30161,16865810925,NA,2608059781,19473870706,0.18,22281.11
2017,"A",1,12,41,"San Mateo","12/31/2017",19606,1859,69,21534,12537690093,1544262740,2654496123,16736448956,5.77,21728.42
2017,"A",1,12,43,"Santa Clara","12/31/2017",48736,1907,169,50812,35923871125,426996913,6798163166,43149031204,2.42,22270.77
2016,"A",1,12,19,"Los Angeles","12/31/2016",291435,19394,1210,312039,130556451625,5454870902,19144317981,155155640508,2.08,15236.79
2016,"A",1,12,38,"San Francisco","12/31/2016",30370,NA,44,30414,16108291248,NA,3328876735,19437167983,2.77,22473.59
2016,"A",1,12,41,"San Mateo","12/31/2016",19857,1881,67,21805,11886640135,1446450731,2488880046,15821970912,1.16,20658.14
2016,"A",1,12,43,"Santa Clara","12/31/2016",48253,1965,176,50394,34968751897,401309227,6758369351,42128430475,1.45,21912
2015,"A",1,12,19,"Los Angeles","12/31/2015",286523,18610,1265,306398,128466595970,5569952345,17945191205,151981739520,3.07,14966.09
2015,"A",1,12,38,"San Francisco","12/31/2015",30185,NA,47,30232,15782876652,NA,3129615992,18912492644,2.39,22055.17
2015,"A",1,12,41,"San Mateo","12/31/2015",19684,1821,76,21581,11875086756,1501935797,2262802853,15639825406,2.23,20601.62
2015,"A",1,12,43,"Santa Clara","12/31/2015",47997,1841,198,50036,34600764692,442777659,6481217939,41524760290,4.78,21809.52
2014,"A",1,12,19,"Los Angeles","7/1/2014",256952,15781,NA,272733,124989966000,5641402000,16815560000,147446927000,5.3,14664.25
2014,"A",1,12,38,"San Francisco","7/1/2014",28196,NA,NA,28196,18469729000,NA,NA,18469729000,8,22122
2014,"A",1,12,41,"San Mateo","7/1/2014",18297,1702,NA,19999,11575675000,1649287000,2073473000,15298434000,4.7,20517.32
2014,"A",1,12,43,"Santa Clara","7/1/2014",44222,1630,NA,45852,33280181000,424595000,5923879000,39628655000,5.3,21214.05
2013,"A",1,12,19,"Los Angeles","7/1/2013",248884,14908,NA,263792,119340483521,5256661000,15482563855,140079708376,3.53,14058.84
2013,"A",1,12,38,"San Francisco","7/1/2013",28394,NA,NA,28394,17094163307,NA,NA,17094163307,7.14,20695.03
2013,"A",1,12,41,"San Mateo","7/1/2013",18151,1657,NA,19808,11164223123,1613295197,1834099261,14611617581,5.06,19835.3
2013,"A",1,12,43,"Santa Clara","7/1/2013",43798,1512,NA,45310,31864692647,390040553,5366872618,37621605818,3.86,20436.58
2012,"A",1,12,19,"Los Angeles","7/1/2012",251981,14433,NA,266414,115731881208,5236432955,14327267879,135295582043,7,13687.46
2012,"A",1,12,38,"San Francisco","7/1/2012",27499,NA,NA,27499,15953605242,NA,NA,15953605242,7.14,19634.28
2012,"A",1,12,41,"San Mateo","7/1/2012",17635,1554,NA,19189,10763342866,1573880347,1569754845,13906978059,6.81,19065.2
2012,"A",1,12,43,"Santa Clara","7/1/2012",42654,1326,NA,43980,30970216112,376867904,4873360727,36220444743,8.34,19939.84
2011,"A",1,12,19,"Los Angeles","7/1/2011",252334,14534,NA,266868,109163321566,4555721380,12721694488,126440737435,8.12,12824.91
2011,"A",1,12,38,"San Francisco","7/1/2011",26936,NA,NA,26936,14890527457,NA,NA,14890527457,10.77,18319.58
2011,"A",1,12,41,"San Mateo","7/1/2011",17386,1609,NA,18995,10132461756,1463867940,1424312823,13020642519,8.81,17966.89
2011,"A",1,12,43,"Santa Clara","7/1/2011",42099,1291,NA,43390,28565934921,408532737,4456749611,33431217269,9.53,18600.02
2010,"A",1,12,19,"Los Angeles","7/1/2010",256768,14525,NA,271293,101038332236,4093111714,11810890334,116942334284,3.72,11906.01
2010,"A",1,12,38,"San Francisco","7/1/2010",26896,NA,NA,26896,13443121466,NA,NA,13443121466,6.41,16699.75
2010,"A",1,12,41,"San Mateo","7/1/2010",17348,1631,NA,18979,9413580705,1215062441,1337694555,11966337702,5.64,16651.96
2010,"A",1,12,43,"Santa Clara","7/1/2010",42238,1345,NA,43583,26135809642,351630804,4035881289,30523321736,11.29,17134.19
