"K","mean","median","p05","p10","p25","p75","p90","p95","sd","mean_fy25","median_fy25","p05_fy25","p10_fy25","p25_fy25","p75_fy25","p90_fy25","p95_fy25"
212,4.31193901528857,4.31193901528857,4.31193901528857,4.31193901528857,4.31193901528857,4.31193901528857,4.31193901528857,4.31193901528857,1.58620358004798e-15,5.75702127987177,5.75702127987177,5.75702127987176,5.75702127987176,5.75702127987176,5.75702127987177,5.75702127987177,5.75702127987177
250,3.88079973420431,3.90997169459466,3.58407386816527,3.66087723492424,3.78797950356448,3.99666987467139,4.05512327484164,4.0839624975867,0.154622053996643,5.18139207755927,5.2203405868372,4.78522294830714,4.88776582176372,5.05746452638069,5.33609437320992,5.41413756154533,5.45264182110224
300,3.45209671115996,3.46939833980345,3.09784109617066,3.17716703688893,3.31619393016868,3.6026631603136,3.6996836167036,3.7499731098217,0.199861357456185,4.60901560895411,4.63211562125109,4.13603649056299,4.2419473411436,4.42756703109008,4.81004216539167,4.93957758554481,5.00672085473492
350,3.12498761857849,3.13447438033914,2.75548019880929,2.83358926623997,2.97304021449324,3.28460946008625,3.40318760608336,3.46602377955217,0.216764333639153,4.17228076642642,4.18494687537172,3.67893842759943,3.78322458789876,3.96941044853962,4.3853974953584,4.54371534433832,4.62761012729398
400,2.86697276188589,2.86973008613403,2.49460372087641,2.56987477676857,2.7071918146468,3.03012421023067,3.15966680450676,3.2312912349246,0.224306205152926,3.82779606586927,3.83147746635192,3.33063307598093,3.43113010736129,3.61446690928518,4.04562529690257,4.21858216601714,4.31421045960203
450,2.65619058491886,2.65319205646852,2.29083312621317,2.36094556185834,2.49282989040454,2.81696927396254,2.95512200235278,3.03100989808788,0.225904755811315,3.54637337554031,3.54236993485257,3.05857179553867,3.15218137177843,3.32826477259418,3.7610346522635,3.94548721395209,4.0468078098795
500,2.4777665514938,2.47150724695495,2.11905908174822,2.18682918252125,2.3130865109312,2.63700876564693,2.77882496063858,2.85973099518868,0.225673278659977,3.308153179562,3.29979616215067,2.82923023346925,2.91971247612296,3.08828307135139,3.52076305467455,3.71010683933908,3.81812732871138
550,2.32969915355026,2.32161998607306,1.97846258569553,2.04211190975124,2.16455149692535,2.48572683624621,2.63073549119173,2.70975134849153,0.224002140309015,3.11046319419954,3.09967641383809,2.64151491171242,2.72649536058679,2.88996875535439,3.31878123542061,3.51238738553706,3.61788423285086
600,2.2012534162024,2.18929164254667,1.86024018476135,1.92140985638756,2.0379963906945,2.35333041718598,2.50016813035077,2.58231752913697,0.220866335853907,2.93897077730807,2.92300019302177,2.48367203046515,2.56534180825798,2.72100058649482,3.14201412456723,3.33806231457643,3.44774286322612
650,2.08764691579161,2.0739206532205,1.75187634005845,1.81234297628852,1.92493228852225,2.23697104051024,2.38525528842948,2.46586779768464,0.218765601749022,2.78729074702988,2.7689643315971,2.33899165402398,2.41972278455818,2.57004473116214,2.98665863246502,3.1846381418491,3.29226673528707
700,1.9890118421736,1.97306852349386,1.66641820204729,1.72265450182332,1.83144166088014,2.13325164874327,2.27969357907493,2.36409151407637,0.213361071224706,2.65559959468584,2.63431310974585,2.22489349138206,2.29997655108303,2.44522210939132,2.84817922832209,3.0436989947649,3.15638164311818
750,1.89956213847922,1.88167014137395,1.58512849828508,1.63952871055411,1.74374838396086,2.04080357394476,2.18671434383459,2.27187013703609,0.209962361192104,2.53617215245604,2.51228391848305,2.11636075176441,2.18899238652359,2.32813973426126,2.72474855548301,2.91955915095753,3.03325364242116
800,1.82164820612022,1.80232723869185,1.51351151370736,1.56700420526273,1.666977694275,1.9591377912473,2.1072854689769,2.19176820909139,0.207415887343843,2.43214652384699,2.40635042138857,2.02074239938227,2.09216237135078,2.22564048911311,2.61571369966532,2.81351086939078,2.92630674403013
850,1.7501663509298,1.73083329092067,1.44995760707275,1.50086228125976,1.59888482491878,1.88431803877187,2.02937864303765,2.11686947318534,0.203729682431847,2.33670858745763,2.31089633976976,1.93588934565929,2.00385396470898,2.13472730678345,2.51581921933326,2.70949472881243,2.82630681014475
900,1.68635050661839,1.66579024042845,1.39281642217821,1.44126249347378,1.53630261201528,1.81894008260422,1.96258255052697,2.04709201944268,0.201044553800033,2.25150581153915,2.22405507776123,1.85959814204334,1.92428019398931,2.05117159550148,2.4285308129905,2.62031291881169,2.73314448001265
950,1.62741328138456,1.60583278746523,1.34126312478896,1.38800884340312,1.48023253506744,1.75499322822687,1.899530343373,1.98608122400416,0.197614381990585,2.17281665136209,2.14400377569682,1.79076752336689,1.85317937470578,1.97631046573869,2.34315312092992,2.53612970169261,2.65168682340015
1000,1.57176211451715,1.54884653440898,1.29273617510056,1.33878369117276,1.42741592875482,1.69660067232351,1.83952484321604,1.92647814676118,0.194000063772114,2.09851482316613,2.06791942702172,1.72597748783696,1.78745714443066,1.90579315893212,2.26519116791301,2.45601425013168,2.57210866081087
1050,1.5230936814047,1.49984418679066,1.24821463666693,1.29314446885658,1.38021989325703,1.64484522430412,1.78864455143873,1.87596289952615,0.192353889947483,2.03353588814574,2.0024946710124,1.66653521760395,1.72652261517609,1.84278007369993,2.19609065082767,2.38808218489388,2.50466397936735
1100,1.47660800613589,1.45234943527968,1.20825528220379,1.25215427854012,1.33647334446951,1.59629752198884,1.73810211408384,1.82263820582966,0.188417312438952,1.97147122981386,1.93908275953557,1.61318407948289,1.6717951718887,1.7843725193728,2.13127290773645,2.320601200966,2.43346830724285
1150,1.43362597906475,1.40787913534186,1.17173908875994,1.21404620839673,1.29640380726254,1.55052155960598,1.69102196427127,1.77764742738769,0.185840070980441,1.91408441529186,1.87970889961859,1.56443002661462,1.62091574850807,1.73087427239918,2.07015581201448,2.2577428387838,2.37339953818788
1200,1.39321988303158,1.36856950080386,1.1372655813655,1.17840087537496,1.25770097896788,1.50712438064854,1.64669389846195,1.73279899155985,0.182476505913507,1.86013681680433,1.82722522539759,1.51840323566097,1.5733244119871,1.67920076651387,2.01221471362264,2.19855888064919,2.31352081575829
1250,1.35650612698867,1.33074549794269,1.105037220698,1.14461769658033,1.22189892583249,1.4687738187377,1.60976199189643,1.69257774616954,0.180891649293878,1.81111899116865,1.77672507022618,1.47537401898598,1.52821930300184,1.63140018746283,1.96101153096331,2.14924979458605,2.25982001785879
1300,1.32144355512417,1.29558379071315,1.07379883500813,1.11327894813803,1.18900753031234,1.4314567860542,1.57010565080732,1.65340240957332,0.178215434113452,1.76430571954416,1.72977943949269,1.43366655268653,1.48637783886537,1.58748572966027,1.91118824948858,2.09630322026708,2.20751564953843
1350,1.28944387452194,1.26344693055208,1.04693060736084,1.08427203423369,1.1586554921295,1.39633775956541,1.53472133958757,1.61834210943633,0.176034583789464,1.72158182165902,1.68687238835872,1.39779383793583,1.44764968894984,1.54696165705939,1.86429960331166,2.04906038312502,2.16070541097716
1400,1.25749699194142,1.23076633571729,1.01962081076548,1.057071289059,1.12883123103921,1.36259480604234,1.50035819122808,1.58368480586639,0.173414242117035,1.67892841626773,1.64323937795768,1.36133156896796,1.41133301836526,1.5071422381983,1.81924820049977,2.00318093639641,2.11443322729188
1450,1.22781206737548,1.20026496490441,0.995122544038197,1.03107287714391,1.10167845915668,1.33079799108453,1.46521453443659,1.54887405617456,0.170547971650899,1.63929503049591,1.60251592611562,1.32862307231046,1.37662162515971,1.47088961844162,1.77679515566421,1.95625940543696,2.06795617229792
1500,1.20097674918604,1.17361926967685,0.970462758326452,1.00635796385912,1.076446662593,1.30242116866575,1.43780631329553,1.51994081015004,0.169187426829174,1.60346625431865,1.56694032221719,1.2956989259818,1.34362387607136,1.43720176032687,1.73890826302941,1.91966572639998,2.02932637895707
1550,1.17514377487252,1.1487250630356,0.949204647175503,0.984019546664729,1.05222049525704,1.27494920432391,1.40661317386133,1.48826054406073,0.166319409616905,1.56897574266764,1.53370319226916,1.26731647487756,1.31379907041183,1.40485655312697,1.70222947820544,1.87801866996621,1.98702894261082
1600,1.15140980341303,1.12399534069099,0.927649798941235,0.962417966293432,1.02921033501352,1.25019810709001,1.38425510631692,1.46456649491019,0.165659309008368,1.53728768347577,1.50068567108473,1.23853783966749,1.28495804148366,1.37413487972075,1.66918341865531,1.84816762843394,1.95539418509631
1650,1.12736369152438,1.09950162789515,0.907915828768233,0.942766326246797,1.00795084802929,1.22276132832256,1.3550581664844,1.4367858347615,0.162855484799604,1.50518287462985,1.46798325454109,1.2121903227338,1.25872044639437,1.34575059169315,1.63255161132795,1.80918576822512,1.91830324965455
1700,1.10491176005932,1.07737984138075,0.889137061299272,0.921782386659306,0.986337405356903,1.19841327974837,1.33146263624771,1.41301147905908,0.161494078156089,1.4752065120792,1.43844768011376,1.18711813049146,1.23070405137756,1.31689372499003,1.60004367620458,1.77768254677397,1.88656127204104
1750,1.08395554938643,1.05600766506128,0.870645125044609,0.903346532966492,0.966342381043276,1.17692066126698,1.30972224305376,1.38877627855317,0.159776798642415,1.44722713891053,1.40991293659533,1.16242889668118,1.20608969536607,1.29019766550102,1.57134812612402,1.74865618396908,1.85420400433855
1800,1.06435715504253,1.03629841702202,0.855194574150742,0.886913909334538,0.948862623025244,1.15491911708504,1.28563283508114,1.36513437197143,0.157308898746037,1.42106063402975,1.38359842705102,1.14180032332558,1.1841499221926,1.26685982641749,1.54197309145949,1.71649356900022,1.82263886419969
1850,1.0444105133891,1.01649510399634,0.837925691251164,0.869434542692022,0.92996299374146,1.13313794240512,1.26384678043025,1.34569287603948,0.156234027583423,1.39442917193031,1.35715832803836,1.11874403102182,1.16081260564827,1.24162626731968,1.51289227985981,1.68740624197984,1.79668183990136
1900,1.02608997900198,0.997758578248152,0.822672466640976,0.853575010953687,0.913334070821787,1.1124960150302,1.24346001203482,1.32526555357404,0.154464597227206,1.36996878277562,1.33214253420159,1.09837891492065,1.13963798759763,1.21942440807017,1.48533251736465,1.66018715120325,1.76940860396101
1950,1.00846657457733,0.980575590649861,0.808266110009706,0.837790000173056,0.896669898656664,1.0941302974611,1.22316312656134,1.30275148704663,0.152782331370295,1.34643915632758,1.30920092373252,1.07914448201296,1.11856286509592,1.19717548631457,1.46081180255617,1.63308806627379,1.73934928270549
2000,0.99206581061567,0.963978356414447,0.79495871221408,0.823780029744888,0.882009552806227,1.07557260715241,1.20510232313785,1.28403816798511,0.151038196030724,1.3245419201193,1.28704137315875,1.0613773076588,1.09985766133507,1.17760194347642,1.43603477819808,1.60897445305432,1.71436447293146
